AGENCY,TRANSACTION_AMOUNT,TRANSACTION_DATE
Office of Public Educational Facilities Modernization,4501.57,2009-06-21
Office of Public Educational Facilities Modernization,884.88,2009-03-15
Office of Public Educational Facilities Modernization,4149.88,2009-02-14
Office of Public Educational Facilities Modernization,-937.83,2009-03-30
Office of Public Educational Facilities Modernization,-200.62,2009-07-02
Office of Public Educational Facilities Modernization,1361.47,2009-09-11
Office of Public Educational Facilities Modernization,17.94,2009-04-21
Office of Public Educational Facilities Modernization,371.65,2009-08-06
Office of Public Educational Facilities Modernization,-3.91,2009-06-18
Office of Public Educational Facilities Modernization,1674.16,2009-07-27
Office of Public Educational Facilities Modernization,2357.25,2009-08-06
Office of Public Educational Facilities Modernization,2576.21,2009-05-20
Office of Public Educational Facilities Modernization,-766.73,2009-11-14
Office of Public Educational Facilities Modernization,-92.66,2009-06-05
Office of Public Educational Facilities Modernization,-944.31,2009-05-31
Office of Public Educational Facilities Modernization,1617.25,2009-02-09
Office of Public Educational Facilities Modernization,1554.17,2009-06-06
Office of Public Educational Facilities Modernization,-268.93,2009-05-01
Office of Public Educational Facilities Modernization,1259.77,2009-02-18
Office of Public Educational Facilities Modernization,2889.86,2009-07-28
Office of Public Educational Facilities Modernization,2405.22,2009-02-15
Office of Public Educational Facilities Modernization,1453.42,2009-09-16
Office of Public Educational Facilities Modernization,592.2,2009-07-25
Office of Public Educational Facilities Modernization,-16.16,2009-04-20
Office of Public Educational Facilities Modernization,-677.33,2009-06-11
Office of Public Educational Facilities Modernization,-479.96,2009-08-31
Office of Public Educational Facilities Modernization,1153.16,2009-03-10
Office of Public Educational Facilities Modernization,-38.59,2009-06-15
Office of Public Educational Facilities Modernization,-1047.95,2009-02-27
Office of Public Educational Facilities Modernization,1085.05,2009-08-15
Office of Public Educational Facilities Modernization,-759.69,2009-08-21
Office of Public Educational Facilities Modernization,-81.19,2009-06-28
Office of Public Educational Facilities Modernization,2225.63,2009-02-26
Office of Public Educational Facilities Modernization,-1208.59,2008-12-16
Office of Public Educational Facilities Modernization,1110.55,2009-10-03
Office of Public Educational Facilities Modernization,2306.65,2009-03-12
Office of Public Educational Facilities Modernization,406.07,2009-11-25
Office of Public Educational Facilities Modernization,263.11,2009-02-20
Office of Public Educational Facilities Modernization,865.69,2009-06-22
Office of Public Educational Facilities Modernization,1063.32,2009-01-18
Office of Public Educational Facilities Modernization,159.55,2009-04-02
Office of Public Educational Facilities Modernization,3838.57,2009-06-01
Office of Public Educational Facilities Modernization,2273.31,2009-12-04
Office of Public Educational Facilities Modernization,821.15,2009-06-21
Office of Public Educational Facilities Modernization,300.91,2009-02-17
Office of Public Educational Facilities Modernization,4045.87,2008-12-26
Office of Public Educational Facilities Modernization,1118.65,2009-03-08
Office of Public Educational Facilities Modernization,2432.19,2009-02-28
Office of Public Educational Facilities Modernization,-1772.33,2009-05-11
Office of Public Educational Facilities Modernization,2183.29,2009-05-24
Office of Public Educational Facilities Modernization,-595.43,2009-02-26
Office of Public Educational Facilities Modernization,410.93,2009-01-01
Office of Public Educational Facilities Modernization,1118.66,2009-09-25
Office of Public Educational Facilities Modernization,1815.36,2008-10-31
Office of Public Educational Facilities Modernization,4121.47,2009-03-06
Office of Public Educational Facilities Modernization,560.28,2009-04-01
Office of Public Educational Facilities Modernization,1729.86,2009-06-30
Office of Public Educational Facilities Modernization,849.92,2009-04-01
Office of Public Educational Facilities Modernization,1760.53,2009-09-14
Office of Public Educational Facilities Modernization,852.55,2009-07-24
Office of Public Educational Facilities Modernization,2096.26,2009-01-19
Office of Public Educational Facilities Modernization,-789.96,2009-02-15
Office of Public Educational Facilities Modernization,1103.46,2009-02-26
Office of Public Educational Facilities Modernization,885.31,2009-06-06
Office of Public Educational Facilities Modernization,2158.67,2009-01-08
Office of Public Educational Facilities Modernization,1232.37,2009-10-12
Office of Public Educational Facilities Modernization,831.39,2009-09-30
Office of Public Educational Facilities Modernization,1985.41,2009-06-02
Office of Public Educational Facilities Modernization,3695.16,2009-07-11
Office of Public Educational Facilities Modernization,1577.61,2009-03-21
Office of Public Educational Facilities Modernization,1852.33,2009-05-18
Office of Public Educational Facilities Modernization,1317.54,2009-08-26
Office of Public Educational Facilities Modernization,2287.46,2009-06-12
Office of Public Educational Facilities Modernization,1425.37,2009-02-19
Office of Public Educational Facilities Modernization,1199.79,2009-09-01
Office of Public Educational Facilities Modernization,-219.33,2008-10-17
Office of Public Educational Facilities Modernization,-148.79,2009-05-06
Office of Public Educational Facilities Modernization,1133.56,2009-01-28
Office of Public Educational Facilities Modernization,-654.72,2009-04-21
Office of Public Educational Facilities Modernization,2300.03,2009-05-31
Office of Public Educational Facilities Modernization,-1729.11,2008-06-15
Office of Public Educational Facilities Modernization,2600.23,2009-08-03
Office of Public Educational Facilities Modernization,-40.69,2009-07-29
Office of Public Educational Facilities Modernization,2075.6,2009-04-10
Office of Public Educational Facilities Modernization,2511.16,2009-07-11
Office of Public Educational Facilities Modernization,1816.74,2009-05-28
Office of Public Educational Facilities Modernization,524.64,2009-05-20
Office of Public Educational Facilities Modernization,-19.81,2009-06-24
Office of Public Educational Facilities Modernization,516.0,2008-11-15
Office of Public Educational Facilities Modernization,-1804.95,2009-08-06
Office of Public Educational Facilities Modernization,926.75,2009-08-19
Office of Public Educational Facilities Modernization,1039.58,2009-11-11
Office of Public Educational Facilities Modernization,637.92,2009-05-13
Office of Public Educational Facilities Modernization,-362.04,2009-03-29
Office of Public Educational Facilities Modernization,1478.59,2008-12-25
Office of Public Educational Facilities Modernization,1297.64,2009-07-05
Office of Public Educational Facilities Modernization,1011.13,2009-11-06
Office of Public Educational Facilities Modernization,-134.27,2009-07-22
Office of Public Educational Facilities Modernization,1581.49,2009-03-16
Office of Public Educational Facilities Modernization,1021.9,2009-04-16
Office of Public Educational Facilities Modernization,667.88,2008-12-11
Office of Public Educational Facilities Modernization,1746.99,2009-02-12
Office of Public Educational Facilities Modernization,1201.14,2008-12-05
Office of Public Educational Facilities Modernization,2574.39,2009-07-04
Office of Public Educational Facilities Modernization,1794.9,2009-01-09
Office of Public Educational Facilities Modernization,2076.88,2009-08-02
Office of Public Educational Facilities Modernization,1805.01,2009-05-15
Office of Public Educational Facilities Modernization,500.94,2009-06-18
Office of Public Educational Facilities Modernization,2701.2,2009-07-23
Office of Public Educational Facilities Modernization,2424.19,2009-05-07
Office of Public Educational Facilities Modernization,2612.47,2009-03-16
Office of Public Educational Facilities Modernization,2074.88,2009-07-14
Office of Public Educational Facilities Modernization,-667.63,2009-03-04
Office of Public Educational Facilities Modernization,-1200.2,2008-12-08
Office of Public Educational Facilities Modernization,1211.81,2009-05-26
Office of Public Educational Facilities Modernization,3151.23,2009-02-02
Office of Public Educational Facilities Modernization,1978.42,2009-11-20
Office of Public Educational Facilities Modernization,-1905.37,2009-07-06
Office of Public Educational Facilities Modernization,2283.68,2009-05-04
Office of Public Educational Facilities Modernization,1062.46,2009-02-01
Office of Public Educational Facilities Modernization,-361.77,2009-10-03
Office of Public Educational Facilities Modernization,1241.81,2009-02-28
Office of Public Educational Facilities Modernization,-1864.9,2009-06-30
Office of Public Educational Facilities Modernization,45.08,2009-07-01
Office of Public Educational Facilities Modernization,220.09,2009-08-25
Office of Public Educational Facilities Modernization,1971.63,2009-04-02
Office of Public Educational Facilities Modernization,1127.7,2009-05-11
Office of Public Educational Facilities Modernization,1582.79,2009-01-14
Office of Public Educational Facilities Modernization,1752.34,2009-01-13
Office of Public Educational Facilities Modernization,2485.1,2008-12-19
Office of Public Educational Facilities Modernization,-366.0,2008-12-25
Office of Public Educational Facilities Modernization,2394.0,2009-06-30
Office of Public Educational Facilities Modernization,354.81,2009-05-16
Office of Public Educational Facilities Modernization,1323.28,2009-04-01
Office of Public Educational Facilities Modernization,3081.76,2009-05-13
Office of Public Educational Facilities Modernization,1885.46,2008-12-04
Office of Public Educational Facilities Modernization,2291.63,2009-05-03
Office of Public Educational Facilities Modernization,1315.8,2009-05-04
Office of Public Educational Facilities Modernization,2813.8,2009-07-13
Office of Public Educational Facilities Modernization,2061.57,2009-05-23
Office of Public Educational Facilities Modernization,455.42,2009-07-02
Office of Public Educational Facilities Modernization,99.86,2009-04-03
Office of Public Educational Facilities Modernization,24.15,2009-10-01
Office of Public Educational Facilities Modernization,1914.46,2008-11-08
Office of Public Educational Facilities Modernization,410.23,2009-10-01
Office of Public Educational Facilities Modernization,1352.45,2009-07-03
Office of Public Educational Facilities Modernization,3025.39,2009-05-25
Office of Public Educational Facilities Modernization,1636.59,2008-12-08
Office of Public Educational Facilities Modernization,980.95,2009-10-26
Office of Public Educational Facilities Modernization,1468.09,2009-07-02
Office of Public Educational Facilities Modernization,379.93,2009-05-20
Office of Public Educational Facilities Modernization,47.69,2009-07-21
Office of Public Educational Facilities Modernization,1527.77,2009-05-25
Office of Public Educational Facilities Modernization,1583.75,2009-10-06
Office of Public Educational Facilities Modernization,1931.67,2009-08-09
Office of Public Educational Facilities Modernization,1252.24,2009-04-25
Office of Public Educational Facilities Modernization,-1534.64,2009-05-13
Office of Public Educational Facilities Modernization,1237.92,2009-09-11
Office of Public Educational Facilities Modernization,1183.28,2008-10-11
Office of Public Educational Facilities Modernization,3348.34,2009-09-13
Office of Public Educational Facilities Modernization,2217.3,2009-01-21
Office of Public Educational Facilities Modernization,1160.67,2009-06-01
Office of Public Educational Facilities Modernization,-849.72,2009-05-19
Office of Public Educational Facilities Modernization,1302.84,2009-05-27
Office of Public Educational Facilities Modernization,792.48,2009-10-25
Office of Public Educational Facilities Modernization,2073.87,2009-06-09
Office of Public Educational Facilities Modernization,1710.57,2009-06-25
Office of Public Educational Facilities Modernization,3141.19,2009-06-02
Office of Public Educational Facilities Modernization,823.16,2009-06-03
Office of Public Educational Facilities Modernization,177.01,2009-08-04
Office of Public Educational Facilities Modernization,1907.32,2009-05-30
Office of Public Educational Facilities Modernization,1248.74,2009-09-08
Office of Public Educational Facilities Modernization,1536.69,2009-07-30
Office of Public Educational Facilities Modernization,-1279.24,2009-11-21
Office of Public Educational Facilities Modernization,-581.61,2009-06-19
Office of Public Educational Facilities Modernization,2132.47,2009-05-28
Office of Public Educational Facilities Modernization,-133.25,2009-04-19
Office of Public Educational Facilities Modernization,1049.45,2009-06-19
Office of Public Educational Facilities Modernization,-394.07,2008-10-02
Office of Public Educational Facilities Modernization,13.51,2009-10-10
Office of Public Educational Facilities Modernization,1240.55,2009-05-28
Office of Public Educational Facilities Modernization,-333.21,2009-08-31
Office of Public Educational Facilities Modernization,-1188.43,2009-06-21
Office of Public Educational Facilities Modernization,2666.38,2009-04-16
Office of Public Educational Facilities Modernization,1109.7,2008-12-14
Office of Public Educational Facilities Modernization,617.13,2009-06-22
Office of Public Educational Facilities Modernization,-973.69,2009-08-02
Office of Public Educational Facilities Modernization,2113.9,2009-02-08
Office of Public Educational Facilities Modernization,1829.2,2009-07-07
Office of Public Educational Facilities Modernization,2778.17,2009-02-19
Office of Public Educational Facilities Modernization,-458.51,2009-07-03
Office of Public Educational Facilities Modernization,-1828.9,2009-06-18
Office of Public Educational Facilities Modernization,1153.74,2009-01-10
Office of Public Educational Facilities Modernization,960.49,2009-06-30
Office of Public Educational Facilities Modernization,2338.8,2009-06-05
Office of Public Educational Facilities Modernization,947.51,2009-05-15
Office of Public Educational Facilities Modernization,1847.26,2009-06-13
Office of Public Educational Facilities Modernization,2695.05,2009-03-15
Office of Public Educational Facilities Modernization,1285.27,2009-02-18
Office of Public Educational Facilities Modernization,889.3,2009-02-09
Office of Public Educational Facilities Modernization,520.07,2009-05-30
Office of Public Educational Facilities Modernization,-202.91,2009-07-07
Office of Public Educational Facilities Modernization,2497.68,2009-08-19
Office of Public Educational Facilities Modernization,643.31,2009-05-28
Office of Public Educational Facilities Modernization,2233.11,2009-05-01
Office of Public Educational Facilities Modernization,2039.27,2009-07-04
Office of Public Educational Facilities Modernization,1593.57,2009-02-19
Office of Public Educational Facilities Modernization,1554.27,2009-04-23
Office of Public Educational Facilities Modernization,2517.01,2009-08-15
Office of Public Educational Facilities Modernization,3548.32,2009-06-08
Office of Public Educational Facilities Modernization,2219.75,2009-03-09
Office of Public Educational Facilities Modernization,342.16,2009-08-19
Office of Public Educational Facilities Modernization,1091.81,2009-07-05
Office of Public Educational Facilities Modernization,-675.74,2009-08-23
Office of Public Educational Facilities Modernization,2780.8,2009-05-24
Office of Public Educational Facilities Modernization,478.58,2009-07-04
Office of Public Educational Facilities Modernization,-235.33,2009-01-02
Office of Public Educational Facilities Modernization,520.62,2009-04-01
Office of Public Educational Facilities Modernization,2751.39,2009-01-24
Office of Public Educational Facilities Modernization,2137.88,2009-03-12
Office of Public Educational Facilities Modernization,1101.8,2009-05-11
Office of Public Educational Facilities Modernization,1496.88,2009-05-03
Office of Public Educational Facilities Modernization,361.7,2009-06-12
Office of Public Educational Facilities Modernization,-158.43,2009-03-27
Office of Public Educational Facilities Modernization,970.46,2009-05-25
Office of Public Educational Facilities Modernization,-1968.09,2008-09-17
Office of Public Educational Facilities Modernization,715.33,2009-05-12
Office of Public Educational Facilities Modernization,1491.35,2009-03-27
Office of Public Educational Facilities Modernization,1634.87,2008-12-26
Office of Public Educational Facilities Modernization,1066.51,2009-06-26
Office of Public Educational Facilities Modernization,-290.19,2009-08-08
Office of Public Educational Facilities Modernization,1860.43,2009-03-29
Office of Public Educational Facilities Modernization,1191.41,2009-03-17
Office of Public Educational Facilities Modernization,2657.2,2008-12-31
Office of Public Educational Facilities Modernization,1199.25,2009-04-17
Office of Public Educational Facilities Modernization,1239.71,2009-03-11
Office of Public Educational Facilities Modernization,1849.78,2009-01-29
Office of Public Educational Facilities Modernization,526.9,2009-04-16
Office of Public Educational Facilities Modernization,2248.11,2008-10-28
Office of Public Educational Facilities Modernization,2438.7,2009-07-04
Office of Public Educational Facilities Modernization,198.54,2009-09-06
Office of Public Educational Facilities Modernization,460.5,2009-05-30
Office of Public Educational Facilities Modernization,1602.95,2009-08-19
Office of Public Educational Facilities Modernization,1694.5,2009-06-12
Office of Public Educational Facilities Modernization,2440.46,2008-11-30
Office of Public Educational Facilities Modernization,1303.42,2009-04-26
Office of Public Educational Facilities Modernization,410.65,2009-09-29
Office of Public Educational Facilities Modernization,1081.55,2009-09-27
Office of Public Educational Facilities Modernization,1639.69,2009-04-18
Office of Public Educational Facilities Modernization,800.66,2009-05-14
Office of Public Educational Facilities Modernization,2681.63,2009-05-21
Office of Public Educational Facilities Modernization,38.56,2009-03-15
Office of Public Educational Facilities Modernization,287.49,2009-06-24
Office of Public Educational Facilities Modernization,-48.94,2009-05-15
Office of Public Educational Facilities Modernization,-634.97,2009-04-19
Office of Public Educational Facilities Modernization,1109.21,2009-05-10
Office of Public Educational Facilities Modernization,1162.64,2008-11-27
Office of Public Educational Facilities Modernization,1053.98,2009-05-24
Office of Public Educational Facilities Modernization,901.46,2009-06-26
Office of Public Educational Facilities Modernization,290.11,2009-09-01
Office of Public Educational Facilities Modernization,835.49,2009-07-20
Office of Public Educational Facilities Modernization,542.21,2009-01-18
Office of Public Educational Facilities Modernization,1495.82,2009-05-09
Office of Public Educational Facilities Modernization,-364.22,2009-01-01
Office of Public Educational Facilities Modernization,-886.11,2009-03-26
Office of Public Educational Facilities Modernization,125.86,2009-05-16
Office of Public Educational Facilities Modernization,-170.77,2009-07-14
Office of Public Educational Facilities Modernization,148.81,2009-05-17
Office of Public Educational Facilities Modernization,-181.41,2009-04-11
Office of Public Educational Facilities Modernization,2655.27,2009-07-21
Office of Public Educational Facilities Modernization,78.22,2009-08-15
Office of Public Educational Facilities Modernization,3133.91,2009-08-16
Office of Public Educational Facilities Modernization,-183.92,2009-10-27
Office of Public Educational Facilities Modernization,-1794.92,2009-03-28
Office of Public Educational Facilities Modernization,3432.99,2009-10-21
Office of Public Educational Facilities Modernization,168.49,2009-03-30
Office of Public Educational Facilities Modernization,3251.2,2009-01-22
Office of Public Educational Facilities Modernization,2700.62,2009-08-05
Office of Public Educational Facilities Modernization,3170.5,2009-06-07
Office of Public Educational Facilities Modernization,2072.06,2009-02-03
Office of Public Educational Facilities Modernization,3000.03,2009-03-29
Office of Public Educational Facilities Modernization,448.54,2009-09-20
Office of Public Educational Facilities Modernization,1877.19,2009-09-16
Office of Public Educational Facilities Modernization,625.71,2009-01-25
Office of Public Educational Facilities Modernization,-357.34,2009-05-23
Office of Public Educational Facilities Modernization,582.61,2009-04-23
Office of Public Educational Facilities Modernization,822.38,2009-06-29
Office of Public Educational Facilities Modernization,1189.27,2008-12-12
Office of Public Educational Facilities Modernization,27.77,2009-05-15
Office of Public Educational Facilities Modernization,29.95,2009-05-20
Office of Public Educational Facilities Modernization,-334.03,2008-10-25
Office of Public Educational Facilities Modernization,882.71,2009-07-02
Office of Public Educational Facilities Modernization,-415.48,2008-10-30
Office of Public Educational Facilities Modernization,669.29,2009-09-26
Office of Public Educational Facilities Modernization,562.46,2009-08-21
Office of Public Educational Facilities Modernization,-277.3,2009-07-11
Office of Public Educational Facilities Modernization,1513.37,2008-12-16
Office of Public Educational Facilities Modernization,1546.89,2009-03-15
Office of Public Educational Facilities Modernization,-1783.59,2009-04-14
Office of Public Educational Facilities Modernization,1246.78,2009-07-16
Office of Public Educational Facilities Modernization,-1511.09,2009-05-11
Office of Public Educational Facilities Modernization,223.51,2009-06-13
Office of Public Educational Facilities Modernization,1497.1,2009-03-11
Office of Public Educational Facilities Modernization,10.48,2009-05-12
Office of Public Educational Facilities Modernization,1369.71,2009-04-07
Office of Public Educational Facilities Modernization,2901.6,2009-06-25
Office of Public Educational Facilities Modernization,-60.41,2009-07-03
Office of Public Educational Facilities Modernization,2847.69,2009-05-11
Office of Public Educational Facilities Modernization,397.11,2009-05-27
Office of Public Educational Facilities Modernization,1495.25,2009-06-05
Office of Public Educational Facilities Modernization,3279.39,2009-01-06
Office of Public Educational Facilities Modernization,-722.6,2009-09-23
Office of Public Educational Facilities Modernization,1760.83,2009-02-16
Office of Public Educational Facilities Modernization,526.77,2009-03-01
Office of Public Educational Facilities Modernization,1726.32,2009-04-20
Office of Public Educational Facilities Modernization,-1058.67,2009-10-06
Office of Public Educational Facilities Modernization,1756.9,2009-03-26
Office of Public Educational Facilities Modernization,605.43,2009-12-01
Office of Public Educational Facilities Modernization,-245.94,2009-05-27
Office of Public Educational Facilities Modernization,1717.21,2009-05-01
Office of Public Educational Facilities Modernization,-645.84,2009-09-01
Office of Public Educational Facilities Modernization,388.03,2009-09-08
Office of Public Educational Facilities Modernization,632.35,2009-05-15
Office of Public Educational Facilities Modernization,610.53,2009-07-02
Office of Public Educational Facilities Modernization,-586.64,2008-12-27
Office of Public Educational Facilities Modernization,451.61,2009-07-25
Office of Public Educational Facilities Modernization,820.88,2009-01-24
Office of Public Educational Facilities Modernization,-1138.63,2008-11-29
Office of Public Educational Facilities Modernization,1604.26,2009-07-21
Office of Public Educational Facilities Modernization,1292.94,2009-05-01
Office of Public Educational Facilities Modernization,-1363.82,2009-12-10
Office of Public Educational Facilities Modernization,1339.78,2009-02-04
Office of Public Educational Facilities Modernization,-695.0,2009-08-17
Office of Public Educational Facilities Modernization,19.39,2009-09-18
Office of Public Educational Facilities Modernization,1896.17,2008-12-16
Office of Public Educational Facilities Modernization,2725.43,2009-08-02
Office of Public Educational Facilities Modernization,2683.47,2009-10-16
Office of Public Educational Facilities Modernization,1608.6,2009-03-04
Office of Public Educational Facilities Modernization,567.62,2009-03-15
Office of Public Educational Facilities Modernization,2667.05,2009-02-11
Office of Public Educational Facilities Modernization,2008.59,2009-04-01
Office of Public Educational Facilities Modernization,2600.51,2009-06-27
Office of Public Educational Facilities Modernization,751.93,2009-09-06
Office of Public Educational Facilities Modernization,1011.11,2009-07-25
Office of Public Educational Facilities Modernization,-961.06,2008-12-04
Office of Public Educational Facilities Modernization,930.5,2009-06-19
Office of Public Educational Facilities Modernization,1147.02,2009-06-24
Office of Public Educational Facilities Modernization,283.22,2009-08-08
Office of Public Educational Facilities Modernization,211.03,2009-05-01
Office of Public Educational Facilities Modernization,1071.1,2009-04-22
Office of Public Educational Facilities Modernization,2122.55,2009-06-06
Office of Public Educational Facilities Modernization,641.64,2009-08-26
Office of Public Educational Facilities Modernization,997.53,2009-06-04
Office of Public Educational Facilities Modernization,-1149.64,2008-12-26
Office of Public Educational Facilities Modernization,1813.16,2009-04-04
Office of Public Educational Facilities Modernization,1302.1,2009-01-30
Office of Public Educational Facilities Modernization,1772.98,2009-04-20
Office of Public Educational Facilities Modernization,-2599.08,2009-08-12
Office of Public Educational Facilities Modernization,950.83,2009-01-12
Office of Public Educational Facilities Modernization,-33.15,2009-07-07
Office of Public Educational Facilities Modernization,675.92,2008-12-06
Office of Public Educational Facilities Modernization,364.44,2009-04-28
Office of Public Educational Facilities Modernization,453.39,2009-07-06
Office of Public Educational Facilities Modernization,1040.94,2009-06-21
Office of Public Educational Facilities Modernization,-208.97,2009-06-19
Office of Public Educational Facilities Modernization,1524.82,2009-06-05
Office of Public Educational Facilities Modernization,-487.92,2009-05-15
Office of Public Educational Facilities Modernization,-86.1,2009-02-23
Office of Public Educational Facilities Modernization,720.36,2009-05-17
Office of Public Educational Facilities Modernization,-322.06,2009-02-02
Office of Public Educational Facilities Modernization,2050.61,2009-05-14
Office of Public Educational Facilities Modernization,473.01,2009-04-29
Office of Public Educational Facilities Modernization,4231.97,2009-07-10
Office of Public Educational Facilities Modernization,1335.08,2009-07-27
Office of Public Educational Facilities Modernization,965.9,2009-06-09
Office of Public Educational Facilities Modernization,4214.79,2009-03-11
Office of Public Educational Facilities Modernization,1066.29,2009-05-30
Office of Public Educational Facilities Modernization,431.19,2009-09-09
Office of Public Educational Facilities Modernization,-133.5,2009-06-22
Office of Public Educational Facilities Modernization,-868.18,2009-02-01
Office of Public Educational Facilities Modernization,-574.86,2008-11-19
Office of Public Educational Facilities Modernization,3102.06,2009-08-31
Office of Public Educational Facilities Modernization,1680.95,2009-07-28
Office of Public Educational Facilities Modernization,3738.63,2009-04-03
Office of Public Educational Facilities Modernization,492.54,2009-05-31
Office of Public Educational Facilities Modernization,2539.83,2009-08-09
Office of Public Educational Facilities Modernization,1081.62,2009-05-24
Office of Public Educational Facilities Modernization,2348.9,2009-09-28
Office of Public Educational Facilities Modernization,-507.35,2009-02-25
Office of Public Educational Facilities Modernization,905.47,2009-05-17
Office of Public Educational Facilities Modernization,1018.25,2009-09-01
Office of Public Educational Facilities Modernization,1792.46,2009-05-30
Office of Public Educational Facilities Modernization,1538.83,2009-02-23
Office of Public Educational Facilities Modernization,661.95,2009-02-27
Office of Public Educational Facilities Modernization,-897.0,2009-07-25
Office of Public Educational Facilities Modernization,-1094.3,2010-01-04
Office of Public Educational Facilities Modernization,2630.64,2009-01-06
Office of Public Educational Facilities Modernization,1648.3,2009-10-08
Office of Public Educational Facilities Modernization,3472.94,2009-01-14
Office of Public Educational Facilities Modernization,1806.24,2009-06-23
Office of Public Educational Facilities Modernization,1800.14,2009-03-02
Office of Public Educational Facilities Modernization,624.56,2009-03-14
Office of Public Educational Facilities Modernization,-558.7,2008-09-06
Office of Public Educational Facilities Modernization,2523.18,2009-11-20
Office of Public Educational Facilities Modernization,-712.77,2009-05-31
Office of Public Educational Facilities Modernization,2048.87,2008-08-06
Office of Public Educational Facilities Modernization,253.94,2009-08-14
Office of Public Educational Facilities Modernization,-716.27,2009-08-11
Office of Public Educational Facilities Modernization,-1404.13,2009-01-15
Office of Public Educational Facilities Modernization,-834.39,2009-06-25
Office of Public Educational Facilities Modernization,1348.45,2009-04-22
Office of Public Educational Facilities Modernization,150.79,2009-05-23
Office of Public Educational Facilities Modernization,991.46,2009-02-10
Office of Public Educational Facilities Modernization,-138.5,2009-04-15
Office of Public Educational Facilities Modernization,917.77,2009-05-09
Office of Public Educational Facilities Modernization,691.84,2009-03-28
Office of Public Educational Facilities Modernization,3286.1,2009-07-13
Office of Public Educational Facilities Modernization,385.85,2009-01-21
Office of Public Educational Facilities Modernization,1400.73,2009-06-08
Office of Public Educational Facilities Modernization,3168.93,2009-01-01
Office of Public Educational Facilities Modernization,1147.79,2009-05-17
Office of Public Educational Facilities Modernization,184.44,2009-09-08
Office of Public Educational Facilities Modernization,1545.17,2009-10-18
Office of Public Educational Facilities Modernization,34.64,2008-12-05
Office of Public Educational Facilities Modernization,776.41,2009-06-30
Office of Public Educational Facilities Modernization,2882.52,2009-05-08
Office of Public Educational Facilities Modernization,-403.54,2009-01-23
Office of Public Educational Facilities Modernization,744.07,2009-01-24
Office of Public Educational Facilities Modernization,2478.34,2008-08-15
Office of Public Educational Facilities Modernization,-156.25,2009-05-15
Office of Public Educational Facilities Modernization,1588.34,2009-04-01
Office of Public Educational Facilities Modernization,1623.93,2009-05-05
Office of Public Educational Facilities Modernization,1343.5,2009-07-15
Office of Public Educational Facilities Modernization,-265.97,2008-09-20
Office of Public Educational Facilities Modernization,-435.51,2009-12-01
Office of Public Educational Facilities Modernization,1605.22,2009-08-13
Office of Public Educational Facilities Modernization,-248.27,2009-04-22
Office of Public Educational Facilities Modernization,2535.73,2009-07-17
Office of Public Educational Facilities Modernization,2460.5,2009-07-27
Office of Public Educational Facilities Modernization,-130.82,2009-09-08
Office of Public Educational Facilities Modernization,1477.7,2009-05-06
Office of Public Educational Facilities Modernization,862.21,2009-02-28
Office of Public Educational Facilities Modernization,101.72,2009-02-08
Office of Public Educational Facilities Modernization,2626.7,2009-04-06
Office of Public Educational Facilities Modernization,2239.31,2009-01-21
Office of Public Educational Facilities Modernization,1312.56,2009-04-19
Office of Public Educational Facilities Modernization,418.26,2009-04-15
Office of Public Educational Facilities Modernization,-45.13,2009-02-01
Office of Public Educational Facilities Modernization,1702.35,2009-09-12
Office of Public Educational Facilities Modernization,-1899.99,2009-02-01
Office of Public Educational Facilities Modernization,347.1,2009-02-23
Office of Public Educational Facilities Modernization,1003.35,2010-01-19
Office of Public Educational Facilities Modernization,875.14,2009-05-08
Office of Public Educational Facilities Modernization,-59.68,2009-03-03
Office of Public Educational Facilities Modernization,822.27,2009-08-10
Office of Public Educational Facilities Modernization,3170.23,2009-05-20
Office of Public Educational Facilities Modernization,3245.38,2009-07-11
Office of Public Educational Facilities Modernization,-1294.55,2009-02-19
Office of Public Educational Facilities Modernization,909.85,2009-06-21
Office of Public Educational Facilities Modernization,-304.25,2009-06-15
Office of Public Educational Facilities Modernization,2318.88,2008-08-26
Office of Public Educational Facilities Modernization,2438.93,2009-09-11
Office of Public Educational Facilities Modernization,-1429.07,2009-07-07
Office of Public Educational Facilities Modernization,-527.24,2009-06-17
Office of Public Educational Facilities Modernization,1011.81,2009-02-15
Office of Public Educational Facilities Modernization,-38.77,2009-05-25
Office of Public Educational Facilities Modernization,2240.48,2009-06-04
Office of Public Educational Facilities Modernization,732.47,2010-01-26
Office of Public Educational Facilities Modernization,614.42,2009-06-03
Office of Public Educational Facilities Modernization,2182.61,2009-10-18
Office of Public Educational Facilities Modernization,929.27,2009-08-28
Office of Public Educational Facilities Modernization,2207.05,2009-05-10
Office of Public Educational Facilities Modernization,-123.09,2009-04-24
Office of Public Educational Facilities Modernization,287.92,2009-04-23
Office of Public Educational Facilities Modernization,2950.04,2008-09-22
Office of Public Educational Facilities Modernization,1237.88,2009-04-07
Office of Public Educational Facilities Modernization,-138.08,2009-03-09
Office of Public Educational Facilities Modernization,2316.73,2008-11-12
Office of Public Educational Facilities Modernization,-403.01,2009-08-29
Office of Public Educational Facilities Modernization,-42.47,2009-03-23
Office of Public Educational Facilities Modernization,1047.53,2008-11-26
Office of Public Educational Facilities Modernization,474.15,2009-01-20
Office of Public Educational Facilities Modernization,3315.96,2009-06-07
Office of Public Educational Facilities Modernization,2163.24,2009-08-12
Office of Public Educational Facilities Modernization,472.82,2009-03-11
