AGENCY,TRANSACTION_AMOUNT,TRANSACTION_DATE
Department of Education,29.79,2009-03-12
Office of the Chief Financial Officer,29.33,2009-04-25
DC Lottery & Charitable Games Control Board,1915.45,2009-09-20
Department of Property Management,75.52,2009-09-17
Fire & Emergency Medical Services,45.8,2009-11-01
Department of Employment Services,2080.77,2009-07-17
Department of Consumer & Regulatory Affairs,2392.25,2009-01-14
District Department of the Environment,2209.91,2009-07-27
Office of the Chief Financial Officer,2210.93,2009-05-13
DC Department of Human Resources,335.86,2009-01-06
Fire & Emergency Medical Services,211.98,2009-02-08
DC Department of Human Resources,26.18,2009-02-18
Fire & Emergency Medical Services,1931.61,2009-12-06
Department of Human Services,70.78,2009-05-20
Office of the State Superintendent of Education,221.03,2009-03-28
Department of Health,-208.16,2009-02-24
Office of Latino Affairs,31.16,2009-08-13
Department of Mental Health,2057.09,2009-01-24
Fire & Emergency Medical Services,-10.3,2009-03-05
Office of Municipal Planning,1741.73,2009-11-24
Department of Consumer & Regulatory Affairs,461.19,2009-02-10
Department of Health,446.58,2009-09-14
Department of Employment Services,58.46,2009-09-13
Department of Corrections,125.05,2009-03-20
Office of Disability Rights,1886.85,2009-09-19
Department of Public Works,98.72,2009-09-05
Child & Family Services Administration,1931.82,2009-02-16
"Department of Insurance, Securities & Banking",-9.53,2009-10-20
Office of the Inspector General,177.25,2009-03-20
Department of Mental Health,47.98,2009-08-27
Criminal Justice Coordinating Council,76.43,2009-03-30
Department of Health,367.16,2009-06-02
Office of the State Superintendent of Education,33.13,2009-02-01
Office of the Inspector General,124.63,2009-09-28
Office of the Tenant Advocate,1609.59,2009-09-26
Fire & Emergency Medical Services,139.4,2009-05-22
District Department of Transportation,73.43,2009-09-16
Department of Employment Services,16.95,2009-06-05
Fire & Emergency Medical Services,-181.3,2009-02-09
District Department of Transportation,2230.29,2009-05-10
Department of Parks & Recreation,1864.43,2009-01-14
Office of Contracting & Procurement,18.3,2009-04-21
Department of  Youth Rehabilitation Services,2360.24,2009-04-15
Metropolitan Police Department,24.49,2009-01-11
Office of the Chief Financial Officer,720.05,2009-12-03
Department of Health,-51.32,2009-02-26
District Department of the Environment,939.84,2009-10-14
DC Public Library,2041.92,2009-03-17
District Department of Transportation,90.01,2009-09-26
"Department of Insurance, Securities & Banking",-19.47,2009-03-24
Fire & Emergency Medical Services,1225.68,2009-01-12
Department of  Youth Rehabilitation Services,54.51,2009-04-11
Fire & Emergency Medical Services,238.45,2009-08-12
Department of Public Works,68.26,2009-09-24
Department of Corrections,-15.89,2009-01-09
Office of the Attorney General,73.13,2009-08-10
Department on Disability Services,1870.73,2009-06-24
District Department of the Environment,-354.65,2009-09-26
Department of Consumer & Regulatory Affairs,437.41,2009-03-23
Fire & Emergency Medical Services,54.33,2009-05-01
Department of Public Works,195.73,2009-04-10
Department of Parks & Recreation,570.79,2009-08-15
Department of Mental Health,-8.41,2009-01-27
DC Department of Human Resources,40.99,2009-07-26
District Department of Transportation,297.28,2009-04-29
District Department of Transportation,43.74,2009-09-03
Department of Health,-16.56,2009-12-09
Department of Housing & Community Development,1482.54,2009-10-04
Fire & Emergency Medical Services,145.32,2009-08-21
University of the District of Columbia,39.64,2009-08-28
Department of  Youth Rehabilitation Services,280.49,2009-06-25
Homeland Security/Emergency Management,2153.62,2009-08-15
Department of Small & Local Business Development,-10.14,2009-09-02
Department of  Youth Rehabilitation Services,175.21,2009-03-30
District Department of Transportation,10.98,2009-02-24
Department of Employment Services,184.14,2009-02-10
Office of the Secretary,377.72,2009-07-04
Fire & Emergency Medical Services,1727.2,2009-09-10
Department of Health,2162.55,2009-02-25
Department of Health,10.62,2009-10-17
District Department of the Environment,-11.05,2009-01-13
Fire & Emergency Medical Services,176.44,2009-09-11
Office of the Chief Technology Officer,2317.67,2009-04-29
Homeland Security/Emergency Management,525.03,2009-09-19
Office of the State Superintendent of Education,791.68,2009-07-29
Department of Human Services,222.08,2009-08-11
Department of Motor Vehicles,21.21,2009-03-26
Department of Employment Services,307.92,2009-05-03
Department of Public Works,32.93,2009-09-22
Department of Human Services,16.66,2009-06-01
University of the District of Columbia,233.65,2009-07-13
DC Public Library,107.08,2009-08-17
Homeland Security/Emergency Management,384.83,2009-03-02
Department on Disability Services,698.95,2009-08-07
University of the District of Columbia,30.34,2009-09-09
District Department of the Environment,2344.1,2009-06-08
Department of Corrections,26.28,2009-01-28
Office of the Chief Technology Officer,1844.69,2009-08-25
Metropolitan Police Department,20.04,2009-03-31
Metropolitan Police Department,36.53,2009-03-29
Department of Health,-114.87,2009-04-07
Metropolitan Police Department,48.82,2009-04-13
District Department of the Environment,1956.1,2009-08-21
Department of Property Management,1925.55,2009-11-26
Department of Health,734.46,2009-04-23
Department of Parks & Recreation,41.4,2009-08-15
Office of the Tenant Advocate,1141.76,2009-09-21
Serve DC,226.23,2009-03-21
DC Public Library,8.46,2009-08-21
Department of  Youth Rehabilitation Services,6.82,2009-12-16
Office of Unified Communications,1953.15,2009-06-25
Department of Health,140.95,2009-10-25
Department of Consumer & Regulatory Affairs,8.06,2009-05-10
DC Department of Human Resources,426.54,2009-02-12
Fire & Emergency Medical Services,-1.67,2009-08-04
Fire & Emergency Medical Services,828.5,2009-07-28
Department of Mental Health,2255.8,2008-12-31
Department on Disability Services,32.11,2009-08-16
Office of the State Superintendent of Education,85.71,2009-04-25
Homeland Security/Emergency Management,-1370.1,2009-08-23
Department of Health Care Finance,-1401.78,2009-08-11
Commission on Arts & Humanities,1.73,2009-12-18
Judicial Nomination Commission,1602.46,2009-04-13
Fire & Emergency Medical Services,77.57,2009-04-03
Fire & Emergency Medical Services,331.74,2009-01-15
Office of Disability Rights,-451.6,2009-03-30
Department of Human Services,38.76,2009-02-05
Fire & Emergency Medical Services,194.73,2009-03-06
Office of the Chief Financial Officer,68.91,2009-03-20
Office of Municipal Planning,83.21,2009-11-30
DC Public Library,2145.45,2009-04-01
DC Public Library,81.68,2009-01-08
Office of the State Superintendent of Education,21.76,2009-12-20
Fire & Emergency Medical Services,303.47,2009-03-14
Department of Property Management,316.28,2009-05-01
Department of Corrections,20.36,2009-03-06
Department of Motor Vehicles,740.66,2009-04-16
Department of Health,-551.29,2009-09-02
Department of Public Works,382.1,2009-08-09
District Department of the Environment,32.85,2009-07-28
Fire & Emergency Medical Services,226.44,2009-07-12
Metropolitan Police Department,253.37,2009-07-27
Fire & Emergency Medical Services,21.76,2009-03-21
DC Public Library,-2570.32,2009-02-19
Office of Administrative Hearings,6.97,2009-02-26
Office of the Chief Financial Officer,2081.98,2009-12-12
Office of the Attorney General,27.71,2009-02-18
Department of Health,208.91,2009-08-23
Office on Aging,1814.35,2009-03-16
Department of Human Services,2509.93,2009-11-27
District Department of Transportation,18.49,2009-06-17
Office of the State Superintendent of Education,13.67,2009-02-27
Department of Health,-1144.75,2009-10-29
Office of Municipal Planning,2038.97,2008-12-30
Department of Health,36.12,2009-09-02
District Department of the Environment,263.3,2009-02-10
DC Public Library,80.76,2009-05-27
Department of Parks & Recreation,8.05,2009-03-26
District Department of Transportation,423.47,2009-08-27
Office of the Chief Medical Examiner,1641.86,2009-05-02
Department of Health Care Finance,179.11,2009-08-17
Department of Mental Health,788.38,2009-03-20
Office of the State Superintendent of Education,45.64,2009-01-17
District Department of the Environment,235.47,2009-09-23
DC Public Library,1866.73,2009-08-08
Commission of Judicial Disabilities & Tenure,393.34,2009-04-04
Office of the Secretary,28.39,2009-03-26
Department of Human Services,41.17,2009-08-04
Department of Public Works,313.23,2009-02-16
City Administrator/Deputy Mayor,57.63,2009-05-04
Office of Contracting & Procurement,9.31,2009-01-17
Department on Disability Services,100.28,2009-04-11
Office of the Attorney General,2050.59,2009-08-11
Office of Municipal Planning,2254.63,2009-07-26
Advisory Neighborhood Commission,-5.02,2009-02-17
Department on Disability Services,440.42,2009-02-04
Office of Administrative Hearings,2073.13,2009-01-17
Office of the State Superintendent of Education,2093.05,2009-10-23
Office of the State Superintendent of Education,1475.25,2009-05-16
Office of Finance & Resource Management,-6.42,2009-05-02
University of the District of Columbia,38.73,2009-11-27
Child & Family Services Administration,1732.96,2009-08-25
Department of Public Works,237.94,2008-12-30
Deputy Mayor for Economic Development,2010.4,2009-09-17
DC Department of Human Resources,349.4,2009-12-18
Fire & Emergency Medical Services,22.67,2009-09-18
Metropolitan Police Department,1965.95,2009-08-27
Office of the Tenant Advocate,2184.22,2009-09-24
Fire & Emergency Medical Services,32.85,2009-07-08
Department of Health,86.61,2009-01-04
DC Public Library,-11.65,2009-02-16
Department on Disability Services,9.7,2009-01-08
Office of Justice Grants Administration,91.35,2009-02-02
Alcoholic Beverage Regulation Administration,1312.17,2009-01-07
Department of Health,2238.38,2009-09-11
Fire & Emergency Medical Services,37.38,2009-08-12
District Department of the Environment,208.74,2009-08-21
Office of Finance & Resource Management,3.37,2009-04-02
Office of the State Superintendent of Education,2016.67,2009-02-22
Fire & Emergency Medical Services,2392.41,2009-09-08
Office of the Inspector General,61.72,2009-05-02
District Department of Transportation,2248.47,2009-09-18
District Department of Transportation,37.8,2009-08-28
Department of Property Management,56.12,2009-09-25
District Department of Transportation,44.79,2009-06-28
Department of  Youth Rehabilitation Services,-2.13,2009-06-24
Office of the Attorney General,46.72,2009-07-17
Department of Small & Local Business Development,316.76,2009-02-23
Department of Human Services,-5.32,2009-01-25
Department on Disability Services,-212.59,2009-08-29
Department of Human Services,67.21,2009-03-31
Metropolitan Police Department,9.11,2009-10-20
Department of Property Management,274.35,2009-05-14
Department of Property Management,-0.2,2009-11-23
Fire & Emergency Medical Services,160.6,2009-02-27
Metropolitan Police Department,37.24,2009-08-12
Department of Employment Services,2370.47,2009-03-12
DC Public Library,2036.38,2009-01-26
Office of Zoning,80.47,2009-11-23
Department of Property Management,513.59,2009-02-17
Fire & Emergency Medical Services,2268.04,2009-12-12
Fire & Emergency Medical Services,111.88,2009-07-23
Department of  Youth Rehabilitation Services,320.78,2009-09-24
Fire & Emergency Medical Services,2108.91,2009-04-19
Department of Consumer & Regulatory Affairs,167.07,2009-04-02
Department of Housing & Community Development,460.52,2009-05-04
Criminal Justice Coordinating Council,198.23,2009-06-17
Criminal Justice Coordinating Council,118.74,2009-06-15
Office of Police Complaints,1778.33,2009-09-02
Department of Housing & Community Development,-11.09,2009-08-10
District Department of Transportation,663.68,2009-04-14
Department of Motor Vehicles,-1216.42,2009-06-10
Department of Motor Vehicles,-9.77,2009-01-26
District Department of the Environment,802.39,2009-08-07
Department of  Youth Rehabilitation Services,2009.53,2009-05-09
Department of Employment Services,62.56,2009-10-07
Department of Health Care Finance,-11.29,2009-08-09
Department of Motor Vehicles,568.41,2009-02-17
Department on Disability Services,-0.11,2009-12-12
Deputy Mayor for Economic Development,35.91,2009-05-25
DC Sentencing & Criminal Code Review Committee,1883.51,2009-01-26
Office of Cable TV,131.45,2009-09-04
Office of Municipal Planning,2018.53,2009-12-09
DC Public Library,230.06,2009-02-09
Department on Disability Services,18.97,2009-11-14
Department of Housing & Community Development,235.47,2009-09-20
Office of the Chief Financial Officer,-266.0,2008-12-25
Department of Health,399.35,2008-12-30
Department of  Youth Rehabilitation Services,30.25,2009-07-19
Metropolitan Police Department,50.7,2009-01-25
Department of  Youth Rehabilitation Services,271.52,2009-04-09
Department on Disability Services,19.28,2009-10-04
Department of Public Works,601.69,2009-07-09
District Department of the Environment,209.27,2009-01-08
Department of Human Services,28.63,2009-12-17
Homeland Security/Emergency Management,12.85,2009-12-14
Department of Employment Services,362.77,2009-08-11
Department of Health,2053.67,2009-03-21
DC Public Library,1711.02,2009-08-14
District Department of Transportation,1764.27,2009-08-18
Fire & Emergency Medical Services,51.02,2009-07-23
Department of Housing & Community Development,42.09,2009-09-08
District Department of the Environment,423.33,2009-11-19
Office of the Inspector General,71.19,2009-05-19
DC Public Library,-3.31,2009-09-06
Fire & Emergency Medical Services,1982.09,2009-11-21
Metropolitan Police Department,478.2,2009-05-27
Office of the State Superintendent of Education,2311.36,2009-01-26
Fire & Emergency Medical Services,2174.87,2009-08-13
Department of  Youth Rehabilitation Services,640.01,2009-08-16
Commission on Arts & Humanities,2050.18,2009-10-03
Department of Public Works,19.57,2009-03-06
Fire & Emergency Medical Services,1648.83,2008-12-27
Department of Public Works,15.68,2009-09-09
District Department of Transportation,94.05,2009-01-17
Fire & Emergency Medical Services,292.7,2009-08-03
Metropolitan Police Department,-538.9,2009-03-21
Office on Aging,164.81,2009-01-27
District Department of Transportation,514.18,2009-05-01
Department of  Youth Rehabilitation Services,-1.44,2009-09-23
Office of the State Superintendent of Education,-195.01,2009-09-28
Department on Disability Services,16.32,2009-04-21
Fire & Emergency Medical Services,29.18,2009-03-20
Office of the Tenant Advocate,-4.93,2009-03-08
Department of Public Works,25.8,2009-08-26
Department of Public Works,80.11,2009-09-22
Department of Mental Health,171.15,2009-02-09
Office of the Inspector General,383.6,2009-08-14
Department of Property Management,444.87,2009-04-22
City Administrator/Deputy Mayor,282.84,2009-02-21
Department of Health,246.24,2009-05-28
Department of Corrections,2175.12,2009-11-30
Department of Corrections,47.48,2009-12-11
Fire & Emergency Medical Services,14.3,2009-06-08
Office of the Chief Financial Officer,237.49,2009-02-10
Office of the Inspector General,2164.06,2009-08-01
DC Department of Human Resources,106.17,2009-03-31
Office of the State Superintendent of Education,1619.94,2009-09-05
Metropolitan Police Department,180.07,2009-03-02
Department of Public Works,136.76,2009-03-11
Department of Health,161.84,2009-02-10
Department of Public Works,85.38,2009-12-03
Fire & Emergency Medical Services,870.14,2009-01-31
Fire & Emergency Medical Services,2400.14,2009-07-25
Department of  Youth Rehabilitation Services,50.42,2009-06-14
Metropolitan Police Department,1709.74,2009-08-20
Fire & Emergency Medical Services,161.29,2009-08-16
Department of Property Management,41.38,2009-05-24
Fire & Emergency Medical Services,529.92,2009-09-21
District Department of the Environment,57.17,2009-08-13
Metropolitan Police Department,129.17,2009-08-30
Department of Corrections,1840.17,2009-01-12
Office of Police Complaints,344.14,2009-09-15
City Administrator/Deputy Mayor,1806.02,2009-09-24
Office of the Chief Technology Officer,-14.52,2009-04-13
DC Department of Human Resources,7.72,2008-12-29
Department of Mental Health,-1058.93,2009-08-18
Fire & Emergency Medical Services,275.56,2009-02-08
DC Department of Human Resources,-485.45,2009-05-07
Department of Property Management,244.52,2009-08-02
Office of Human Rights,-146.37,2009-02-13
Fire & Emergency Medical Services,-374.78,2009-01-04
Department on Disability Services,718.96,2009-04-23
Department on Disability Services,-1.75,2009-06-24
Office of the Chief Financial Officer,-17.02,2009-08-02
Department of Public Works,37.69,2009-06-18
District Department of the Environment,19.39,2009-08-24
Office of the Mayor,2346.39,2009-07-31
District Department of Transportation,87.38,2009-08-20
Department of Mental Health,21.93,2009-05-24
Office of the State Superintendent of Education,-9.56,2009-08-23
Fire & Emergency Medical Services,30.25,2009-06-14
Department on Disability Services,1922.25,2009-08-21
District Department of Transportation,43.5,2009-08-31
Serve DC,268.82,2009-09-11
District Department of the Environment,1997.1,2009-08-24
Department of Housing & Community Development,119.59,2009-02-23
Office of Disability Rights,1829.57,2009-08-23
Office of the Tenant Advocate,110.11,2009-05-10
Department of Health,-9.72,2009-08-16
District Department of Transportation,-142.22,2009-04-24
Child & Family Services Administration,10.31,2009-08-12
Department of Health Care Finance,29.17,2009-12-14
Department of  Youth Rehabilitation Services,2267.64,2009-05-20
Office of the State Superintendent of Education,245.94,2009-03-01
DC Department of Human Resources,31.96,2009-09-23
Fire & Emergency Medical Services,27.82,2009-04-16
Office of the Tenant Advocate,2198.03,2009-04-16
Fire & Emergency Medical Services,-6.41,2009-04-25
Department of Consumer & Regulatory Affairs,162.09,2009-09-17
Metropolitan Police Department,2137.99,2009-11-30
Department of Consumer & Regulatory Affairs,-3.72,2009-12-22
Department of Health Care Finance,119.13,2009-05-29
Department of Consumer & Regulatory Affairs,349.75,2009-08-14
Department of Parks & Recreation,-17.65,2009-05-19
District Department of Transportation,27.86,2009-04-28
Department of Parks & Recreation,-1117.96,2009-07-15
Metropolitan Police Department,254.11,2009-08-28
Office of the Chief Financial Officer,2176.75,2009-09-22
Fire & Emergency Medical Services,185.29,2009-01-12
Department of Health Care Finance,187.15,2009-08-21
Office of Cable TV,188.44,2009-10-10
Metropolitan Police Department,44.08,2009-03-19
Office of Public Educational Facilities Modernization,1812.48,2009-03-10
Department of Health,22.58,2009-03-19
Fire & Emergency Medical Services,492.29,2009-01-05
Fire & Emergency Medical Services,40.51,2009-09-17
Office of Partnership & Grant Services,510.8,2009-08-16
Department on Disability Services,-27.36,2009-09-24
Office of the State Superintendent of Education,355.31,2009-05-19
Fire & Emergency Medical Services,2412.93,2009-11-19
Fire & Emergency Medical Services,49.28,2009-08-23
Department of Employment Services,109.56,2009-01-19
Office of the State Superintendent of Education,364.56,2009-08-14
Office of the State Superintendent of Education,451.62,2009-07-30
Fire & Emergency Medical Services,43.87,2009-03-08
DC Public Library,131.35,2009-03-05
Child & Family Services Administration,112.46,2009-04-10
Office of the Chief Technology Officer,407.28,2009-12-20
Department of Motor Vehicles,149.64,2009-02-27
Metropolitan Police Department,1913.75,2009-01-23
Office of the State Superintendent of Education,506.03,2009-09-14
Fire & Emergency Medical Services,51.91,2009-02-16
District Department of Transportation,272.74,2009-01-02
Office of Human Rights,-11.82,2009-09-23
Department of Employment Services,2420.06,2009-12-05
District Department of the Environment,229.44,2009-09-15
District Department of the Environment,2059.96,2009-08-07
Fire & Emergency Medical Services,432.01,2009-08-07
Department on Disability Services,-15.73,2009-02-18
District Department of Transportation,-434.82,2009-10-01
Department of Health Care Finance,61.31,2009-04-24
Office of the Chief Technology Officer,2119.88,2009-09-04
Department of Parks & Recreation,36.13,2009-08-16
Department on Disability Services,169.32,2009-02-26
Office of Veterans Affairs,805.06,2009-01-20
District Department of Transportation,-324.54,2009-04-03
Department of Employment Services,131.44,2009-08-31
Department on Disability Services,2255.43,2009-08-12
Department of Health,123.44,2009-04-17
Department of Health,-32.69,2009-02-26
Department of Employment Services,355.96,2009-04-26
Department of Human Services,28.15,2009-05-06
Criminal Justice Coordinating Council,195.25,2009-04-25
Department of Property Management,846.3,2009-04-27
Fire & Emergency Medical Services,38.35,2009-05-13
Office of the State Superintendent of Education,1968.24,2009-11-08
District Department of Transportation,9.88,2009-08-30
Fire & Emergency Medical Services,6.12,2009-11-26
Department of Health,-21.67,2009-09-30
Office of the Chief Financial Officer,-1283.4,2009-05-13
Department on Disability Services,1779.18,2009-08-15
Department of Corrections,62.58,2009-03-12
Department of Human Services,7.04,2009-02-26
Office of the Chief Financial Officer,296.78,2009-04-06
Fire & Emergency Medical Services,69.26,2009-10-20
Child & Family Services Administration,23.02,2009-05-19
Department on Disability Services,-805.76,2009-07-22
Metropolitan Police Department,162.65,2009-09-27
Fire & Emergency Medical Services,33.7,2009-11-28
DC Department of Human Resources,29.09,2009-12-08
Department of Health,-50.47,2009-08-22
Fire & Emergency Medical Services,64.84,2009-05-12
Department of Public Works,40.33,2009-08-31
Department of  Youth Rehabilitation Services,14.94,2009-02-26
Serve DC,215.85,2009-11-19
Department of Employment Services,36.16,2009-04-27
District Department of the Environment,175.91,2009-12-03
Department of Motor Vehicles,7.9,2009-11-30
Department of Health,2.35,2009-03-11
Department on Disability Services,2282.99,2009-09-05
Office of Municipal Planning,204.4,2009-08-17
Office of the Inspector General,52.87,2009-11-04
District Department of Transportation,307.57,2009-12-06
Fire & Emergency Medical Services,178.14,2009-09-04
University of the District of Columbia,2312.32,2009-04-19
Department of  Youth Rehabilitation Services,2258.97,2009-06-23
Metropolitan Police Department,2053.08,2009-02-26
Office of Partnership & Grant Services,2261.84,2009-11-04
Contract Appeals Board,1618.57,2009-09-03
Fire & Emergency Medical Services,36.91,2009-11-18
Department of Consumer & Regulatory Affairs,-8.87,2009-08-24
Commission of Judicial Disabilities & Tenure,397.23,2009-11-20
Office of the Chief Financial Officer,156.58,2009-09-11
District Department of Transportation,-749.38,2009-07-18
DC Public Library,1845.05,2009-02-11
Department of Public Works,65.88,2009-09-29
Department of Mental Health,12.57,2009-07-31
Department of Mental Health,39.6,2009-08-08
Department of Health,1825.72,2009-08-19
Fire & Emergency Medical Services,41.75,2009-11-10
Department of Motor Vehicles,1906.3,2009-09-03
Department of Mental Health,1647.31,2009-02-04
Department of Health Care Finance,38.9,2009-08-06
Fire & Emergency Medical Services,37.65,2009-09-17
Department of Health,22.93,2009-03-23
District Department of Transportation,212.75,2009-03-02
Metropolitan Police Department,1850.11,2009-04-27
Department of Public Works,152.69,2009-06-13
Department of Property Management,28.5,2009-03-14
DC Department of Human Resources,102.42,2009-02-05
Metropolitan Police Department,557.81,2009-04-14
Department of Public Works,493.81,2009-07-25
Fire & Emergency Medical Services,340.29,2009-05-14
Department of Parks & Recreation,365.86,2009-05-25
DC Public Library,165.28,2009-05-27
Fire & Emergency Medical Services,93.81,2009-04-13
District Department of Transportation,49.78,2009-05-11
Department of  Youth Rehabilitation Services,-34.78,2009-09-29
Office of the State Superintendent of Education,-1.94,2009-03-09
Office of Contracting & Procurement,-1192.65,2009-08-12
District Department of the Environment,1898.46,2009-03-19
Department of Public Works,167.01,2009-03-20
Office of Unified Communications,237.96,2009-09-04
Department of Public Works,40.94,2009-08-10
District Department of Transportation,1115.88,2009-01-19
City Administrator/Deputy Mayor,2196.25,2009-07-14
DC Public Library,24.68,2009-06-27
Alcoholic Beverage Regulation Administration,29.57,2009-12-04
Department of Health,2073.89,2009-02-28
Department of Parks & Recreation,2476.65,2009-09-29
Department of Mental Health,84.11,2009-04-19
Office of Human Rights,1805.32,2009-08-08
Department of Education,187.13,2009-08-25
Fire & Emergency Medical Services,2077.99,2009-10-28
Department of Human Services,2066.04,2009-02-28
Office of the Attorney General,2258.33,2009-09-26
District Department of Transportation,28.86,2009-02-03
Contract Appeals Board,-14.55,2009-08-27
Serve DC,78.34,2009-01-20
Department of Health,2372.69,2009-01-24
Department of  Youth Rehabilitation Services,25.9,2009-08-10
Department of Human Services,42.52,2009-03-20
District Department of the Environment,434.34,2009-06-21
Office of the Chief Technology Officer,368.81,2009-05-28
Office of Police Complaints,29.73,2009-06-05
District Department of the Environment,544.96,2009-11-17
DC Public Library,8.44,2009-01-16
University of the District of Columbia,-93.34,2009-04-27
District Department of Transportation,25.74,2009-04-02
DC Department of Human Resources,109.44,2009-05-20
Department of  Youth Rehabilitation Services,21.16,2009-03-01
District Department of Transportation,251.53,2009-06-28
DC Taxicab Commission,73.87,2009-09-14
District Department of Transportation,341.05,2009-12-10
Office of Finance & Resource Management,276.34,2009-07-22
District Department of Transportation,2418.93,2009-05-17
Department of Public Works,500.67,2009-08-21
Department of Employment Services,29.38,2009-05-16
Department of Consumer & Regulatory Affairs,183.74,2009-08-07
District Department of Transportation,265.09,2009-02-26
Office of Police Complaints,33.5,2009-08-13
Fire & Emergency Medical Services,2352.95,2008-12-25
DC Public Library,610.49,2009-07-19
Metropolitan Police Department,1907.68,2009-04-21
Department of Education,36.71,2009-08-25
Fire & Emergency Medical Services,34.02,2009-03-04
Department of Health,39.08,2009-01-08
District Department of Transportation,-178.48,2009-11-09
Fire & Emergency Medical Services,197.04,2008-12-22
Office of the Inspector General,1480.06,2009-12-24
Office of the Secretary,563.75,2009-09-28
Department of  Youth Rehabilitation Services,2150.83,2009-09-10
Department of Public Works,1926.93,2009-12-06
Office of the Chief Financial Officer,153.62,2009-12-13
Office on Aging,398.8,2009-05-03
Office of Municipal Planning,239.31,2009-11-27
District Department of the Environment,41.55,2009-05-31
District Department of the Environment,211.53,2009-05-02
DC Sentencing & Criminal Code Review Committee,2206.31,2009-03-22
Office of the Attorney General,-328.75,2009-07-17
District Department of Transportation,16.93,2009-09-16
Department of Health,5.83,2009-03-09
Metropolitan Police Department,1.08,2009-08-07
Office of the Chief Financial Officer,72.17,2009-09-19
Office on Aging,310.81,2009-04-09
Department of Health,-17.87,2009-04-30
Office of Victim Services,331.14,2009-08-13
Metropolitan Police Department,336.77,2009-12-04
District Department of Transportation,370.05,2009-09-16
Department of Public Works,49.2,2009-02-15
Department of Motor Vehicles,-3.8,2009-02-10
Office of the Mayor,57.64,2009-08-22
Department of Health,-1.04,2009-02-12
University of the District of Columbia,2115.82,2009-08-02
District Department of Transportation,-12.31,2009-08-31
University of the District of Columbia,62.94,2009-03-25
Metropolitan Police Department,56.55,2009-01-25
Department of Corrections,1922.04,2009-08-17
Department of Property Management,210.91,2009-03-14
Office on Aging,2322.06,2009-08-05
Department of Public Works,1944.83,2009-09-19
Office of the Secretary,-32.76,2009-02-02
District Department of Transportation,499.13,2009-05-07
Office of the Tenant Advocate,332.13,2009-08-10
Fire & Emergency Medical Services,238.39,2009-02-14
Department of Health,-998.74,2009-01-13
District Department of the Environment,259.88,2009-01-13
Department of Public Works,57.23,2009-09-20
District Department of Transportation,886.54,2009-04-18
Department of  Youth Rehabilitation Services,52.9,2009-07-11
Office of the Inspector General,98.39,2009-12-03
Office of the Attorney General,118.68,2009-09-07
Office of Victim Services,44.11,2009-03-14
Department of Health,17.34,2009-02-17
District Department of Transportation,30.89,2009-09-20
Fire & Emergency Medical Services,2259.34,2009-06-06
Department of Health,-127.47,2009-05-23
Department on Disability Services,2048.88,2009-02-20
Department of Property Management,36.33,2009-07-19
Office of the State Superintendent of Education,166.8,2009-08-07
University of the District of Columbia,22.34,2009-08-02
Fire & Emergency Medical Services,64.84,2009-07-19
Department of Property Management,237.36,2009-06-02
Department of Motor Vehicles,51.35,2009-03-04
District Department of Transportation,533.06,2009-08-18
District Department of Transportation,55.64,2009-04-21
Department of Health,-9.35,2009-08-25
Department on Disability Services,-754.63,2009-02-10
Department of Employment Services,54.51,2009-04-01
Fire & Emergency Medical Services,582.32,2009-01-18
Department on Disability Services,1807.28,2009-12-06
Department of Health,112.04,2009-03-18
Department of Health,12.52,2009-08-09
Office of the State Superintendent of Education,-917.21,2009-03-30
Department of Motor Vehicles,1162.58,2009-11-19
Department of Corrections,694.31,2009-08-05
Fire & Emergency Medical Services,53.46,2009-08-18
Department on Disability Services,33.41,2009-07-16
Office of the Chief Technology Officer,-1354.85,2009-08-17
Department of Public Works,150.68,2009-02-02
Department of Consumer & Regulatory Affairs,490.26,2009-12-19
DC Public Library,152.35,2009-08-16
Department on Disability Services,527.87,2008-12-28
Office of the State Superintendent of Education,55.75,2009-02-18
Fire & Emergency Medical Services,312.81,2009-03-01
Metropolitan Police Department,227.27,2009-05-16
District Department of Transportation,363.58,2009-12-11
Office of the Chief Technology Officer,55.24,2009-09-30
District Department of the Environment,1567.98,2009-03-16
Fire & Emergency Medical Services,52.0,2009-01-24
"Department of Insurance, Securities & Banking",17.28,2009-08-24
Office of the Mayor,61.59,2009-05-08
Department on Disability Services,1853.15,2009-09-11
Department of Mental Health,1567.23,2009-08-01
Fire & Emergency Medical Services,74.8,2009-08-05
Department of Property Management,1235.37,2009-08-25
University of the District of Columbia,2063.17,2009-09-21
Fire & Emergency Medical Services,230.87,2009-03-04
Department of Mental Health,394.66,2009-08-14
District Department of Transportation,2158.76,2009-09-11
District Department of the Environment,77.5,2009-05-18
Office of Police Complaints,362.03,2008-12-30
Criminal Justice Coordinating Council,-6.28,2009-03-03
DC Public Library,1783.72,2009-04-24
Office of Community Affairs,-30.98,2009-09-03
District Department of Transportation,39.57,2009-11-06
Department of  Youth Rehabilitation Services,118.54,2009-04-04
District Department of Transportation,67.04,2009-01-09
University of the District of Columbia,32.89,2009-01-24
Office of the Inspector General,143.48,2009-02-10
District Department of the Environment,2376.86,2009-05-06
Department of Health,399.39,2009-04-17
Medical Liability Captive Insurance Agency,117.7,2009-09-20
Department of Human Services,1859.13,2009-12-12
Office of the State Superintendent of Education,14.05,2009-02-16
District Department of Transportation,384.26,2009-03-13
Office of the Secretary,2298.08,2009-10-15
